21,"Ko je bila ustanovljena univerza v Mariboru, je bil v naši slovenski zgodovini postavljen najbolj trden zid proti germanizaciji našega obmoèja."
12,"Prosim predsedstvo, da ukrene vse potrebno, da noènih sej veè ne bo."
11,Bi še kdo želel postaviti kakšno vprašanje ali dati kakšno pobudo?
8,"TOÈKO DNEVNEGA REDA - POBUDE, PREDLOGI IN VPRAŠANJA DELEGATOV."
63,"Glede na to, da imamo poleg te toèke še posebno toèko, to je 13 (pobude, predlogi in vprašanja delegatov) prosim vse delegate, da se držijo dogovora, da se v okviru te toèke postavljajo resnièno le tista aktualna in urgentna vprašanja, na katera bi želeli odgovor še danes do konca seje oziroma bi Izvršni svet posredoval ustrezne odgovore v okviru 13. toèke dnevnega reda."
16,"Verjetno tudi ni posebne volje, da bi zaprosili koga, da odgovarja še na prej postavljena vprašanja."
7,Ali želi predstavnik Izvršnega sveta morda besedo?
5,S tem prehajamo na 15.
27,"Mislim, da bi bilo zelo nepravièno, èe bi upoštevali argumente, ki jih je ljubljanska univerza naštela, saj bi jim, kot vidite, zelo lahko oporekali s konkretnimi številkami."
25,"Ugotavljam, da predlagatelji umikajo predlog o prenehanju veljavnosti zakona o gospodarski zbornici, in da je tema te toèke predlog za spremembo zakona o gospodarski zbornici."
35,"8. Izvršni svet Skupšèine Republike Slovenije naj najkasneje do septembra 1990 pripravil osnutek novega zakona o ljudski obrambi, v katerem naj se pristojnosti družbenopolitiènih skupnosti za organiziranje in vodenje teritorialne obrambe v Sloveniji nedvomno uredijo."
15,3. Zbor podpira zahtevo Predsedstva Republike Slovenije po odpoklicu poveljnika Republiškega štaba za Teritorialno obrambo.
29,"Lahko trdim, da je s tistega podroèja vsaj polovica študentov, ki si v Ljubljani tudi zaradi pièlega stanovanjskega fonda ne bi mogli privošèiti bivalnih prostorov, da bi lahko študirali."
56,"Glede na to, da so pri poslovanju Skupšèine Republike Slovenije in upravljanju funkcije republiških poslancev skladno z doloèili drugega odstavka 212. èlena in drugega odstavka 250. èlena ustave Republike Slovenije predpisani kot uradni jeziki le slovenski, italijanski in madžarski jezik, predlagamo, da se organizira prevajalska služba pri poslovanju Skupšèine Republike Slovenije le iz navedenih treh jezikov."
47,"Mi smo se tako dogovorili z vsemi tremi zbori, da bodo vsi trije zbori obravnavali predlog zakona o zaèasni prepovedi seènje v gozdovih v družbeni lastnini, zaèasni prepovedi razpolaganja s kmetijskimi zemljišèi, tako kot smo mi to že storili in sta tudi ostala dva zbora to naredila."
33,"Pravice, ki jih bivši funkcionarji uveljavljajo, temeljijo še na veljavnem družbenem dogovoru. 16. èlen - bilo je še nekaj pripomb okrog tega, kdaj funkcionarju pripadajo te pravice, moram reèi, da pa bomo temeljito prouèili."
6,To pripombo sprejemam kot povsem utemeljeno.
10,S tem zakljuèujem 3. sejo Zbora obèin Skupšèine Republike Slovenije.
26,"Bistvo tega preporoda je v ukinjanju stare šole in v ustanavljanju nove, ki bo kompletna, 4-letna in izrazito komplementarnim programom, z izrazito usmeritvijo v gospodarsko pravo."
49,"Mi mislimo, da glede tega ni treba èakati nove ustave in da je sedanja ustava, vkljuèno z amandmaji, ki so v veljavi, že zadostna osnova za to, da se sistemsko uredi podroèje nagrajevanja v javni upravi, sodstvu in zakonodajnem podroèju (skupšèini), v smislu že danih politiènih in sistemskih usmeritev."
2,Lahko noè.
24,"Obenem pa zahteva, da poveljnik Republiškega štaba za Teritorialno obrambo sam odstopi, saj je z umikom soglasja republike izgubil zaupanje pristojnih organov v Sloveniji."
18,"Sicer bi v skladu s predlogom, ki ga je dal gospod Kuhar, dal ta predlog stališè na glasovanje."
43,"7. Skupšèine obèin oziroma njihovi sveti za ljudsko obrambo naj uveljavijo svojo zakonsko pravico do teritorialne obrambe ter v primeru, èe poveljniki obèinskih štabov za teritorialno obrambo ne ravnajo v skladu z zakonom o splošni ljudski obrambi in družbeni samozašèiti, zahtevajo njihov odpoklic."
4,Se je kdo vzdržal?
46,"Lahko bi govoril še o raznih drugih vidikih, predvsem o tem, da Maribor mora iz industrijske enosmernosti v veèjo širino, v kateri mora izpopolniti doloèene družboslovne in humanistièen vede, ki jih je delno s Pedagoško fakulteto dobil, delno pa jih bi moral dobiti s Pravno fakulteto."
31,"2. Zbor ugotavlja, da je bil pri premešèanju orožja kršen 301. in 305. èlen Ustave Republike Slovenije ter 125., 128. in 129. èlen zakona o splošni ljudski obrambi in družbeni samozašèiti."
23,"Jaz ne bi te seje nadaljeval zveèer, èe ne bi druga dva zbora tako vztrajala in na koncu smo mi tudi tako odloèili."
14,"Zahvaljujem se vam za udeležbo, zahvaljujem se vam, da ste vztrajali do tega trenutka."
13,"Zaradi tega ni veè zakonske osnove, da bi še naprej opravljal to funkcijo."
1,Hvala.
44,"Zato menim, da bi moral Izvršni svet najprej, predno predlaga zakon o ustanovitvi nove visoke šole, zagotoviti normalne delovne pogoje za dosedanjo, in sicer s primernimi prostorskimi rešitvami, ki so že nekaj let v obravnavi, s tem, da se preuredijo podstrešni prostori, kabineti itd."
20,"Za prihodnjo sejo že ob tej priliki lahko napovem, da jo moramo planirati kot dvodnevno, to je 18. in 19."
