7,"Gospod Šter želi besedo, èeprav razprave ni."
24,Prièenjam 10. skupno delovno sejo vseh treh zborov Skupšèine Republike Slovenije kjer bomo odloèali o spornih vprašanjih v zvezi s predlogom zakona o zadrugah.
43,"Ker ni bil sprejet sporazumni predlog skupne komisije vseh treh zborov pri predlogu zakona o zadrugah, se na podlagi èetrtega odstavka, amandmaja 73, k Ustavi Republike Slovenije, o spornih vprašanjih v zvezi s predlogom zakona odloèa na skupni seji vseh treh zborov skupšèine."
17,"Preden preidemo na odloèanje o spornih vprašanjih pri predlogu zakona o zadrugah, moramo ugotoviti navzoènost po zborih."
20,"Kadar zbori odloèajo na skupni seji, velja sklepanje z veèino glasov, ob predpostavki, da je vsak zbor za sebe sklepèen."
5,Najprej ugotavljamo navzoènost Družbenopolitiènega zbora.
3,Številka je konstantna.
4,Poslanci Zbora združenega dela
0,.
2,Hvala lepa.
6,Spoštovane poslanke in poslanci ter predsedstvo!
10,"Samo proceduralno ugotavljam: delovna seja ni sklepèna, zato prekinjam sejo."
9,"Mi ugotavljamo prisotnost, vendar izkoristimo èas - prosim, gospod Buser."
41,"Ker vem, da v enem zboru manjka precej delegatov, vem pa, da so med tistimi delegati ravno tako stalno zaposleni kot jaz, bi prosil, da se pozove tudi tiste delegate v dvorano, oziroma reèeno slovensko, da se jih po možnosti poklièe."
11,"Želim pa, da se ugotovi, kdo od mojih kolegov je tukaj."
21,"Predlagam, da poèakamo še 5 minut in vodje poslanskih klubov lahko vidite, kdo manjka in zagotovite morebitno sklepènost za nadaljevanje dela."
1,Spoštovani!
14,"Ker nisem za socializacijo odgovornosti, predlagam, da predsedniki vseh treh zborov poimensko poklièejo delegate."
27,"Kajti samo od moje dobre volje je sedaj odvisno, ali bom šel nazaj pogledati ali je sluèajno kdo od mojih kolegov poslancev pozabil priti na to sejo."
19,"In èe bomo ugotovili, da smo še sklepèni, bomo nadaljevali s sejo, na kateri bomo obravnavali zelo pomembne stvari."
8,Delovna seja bo predvidoma ponovno sklicana v petek.
