4,"Spoštovane poslanke, spoštovani poslanci."
16,"Nadaljujemo s 1. sejo našega zbora, ki smo jo prekinili v noči iz ponedeljka na torek."
12,"Na tej seji bomo obravnavali samo eno točko dnevnega reda, to je"
4,IZVOLITEV PODPREDSEDNIKA NAŠEGA ZBORA.
24,"Po dnevnem redu, ki smo ga sprejeli v prvem delu naše seje, je to 4. točka dnevnega reda, oziroma del 4. točke dnevnega reda."
10,Po podatkih skupne seje je navzočih 76 delegatov Zbora občin.
6,"Prosim, da še enkrat preverimo prisotnost."
9,"In bi vas prosil, da pritisnete na glasovalno tipko."
6,"Ugotavljam, da je prisotnih 66 delegatov."
4,Še enkrat ugotovimo prisotnost.
5,Pritisnite prosim na glasovalno tipko.
2,Ponovno 66.
8,"Ugotavljam, da je na seji navzočih 66 delegatov."
12,Prehajamo na obravnavo DELA 4. TOČKE DNEVNEGA REDA - IZVOLITEV PODPREDSEDNIKA ZBORA OBČIN.
24,V skladu z drugim odstavkom 10. člena začasnega poslovnika lahko predlaga kandidata za predsednika in podpredsednika zbora tudi skupina najmanj 5 delegatov v zboru.
18,"Prosim, da v skladu s tretjim odstavkom 10. člena začasnega poslovnika predložite morebitne kandidature za podpredsednika Zbora občin."
4,Je kak predlog prosim?
12,"Če lahko že zdajle ugotovim, da pripravljenih predlogov v prvem momentu ni."
40,"Prosim, da v skladu z začasnim poslovnikom, to je prvi odstavek 10. člena, 7-članska skupina, ki smo jo v prvem delu seje izvolili, opravi postopek za predlaganje kandidata in ta skupina naj potem zboru predloži kandidata za podpredsednika tega zbora."
26,"Če se ne spomnite, skupino delegatov za predlaganje kandidatov sestavljajo: Marjan Dvornik, Anton Rojc, Vitomir Gros, Janez Jug, Aurelio Juri, Janez Lukač in Ervin Anton Schwarzbartl."
8,"Prosim, da ta skupina predloži pisne predloge kandidatur."
8,"Predpostavljam, da za ta opravila potrebujemo krajši odmor."
19,"Kot sem razumel diskusijo iz dvorane, bi bilo zaželjeno, da bi se to vprašanje obravnavalo še v frakcijah strank."
3,Tako sem razumel.
7,"Prosil bi, da se okrog tega izjasnimo."
8,"Preden odidemo na odmor, še kdo želi diskusijo?"
6,Da se s svojimi strankami dogovorimo.
15,"V 15-minutnem odmoru prosim, da frakcije pripravijo svoje pisne predloge kandidatur za podpredsednika tega zbora."
5,Je še kaj pred odmorom?
4,Čez 15 minut tukaj.
4,Torej nadaljujemo z delom.
17,Prosim vse zastopane stranke za predloge za podpredsednika Zbora občin - v skladu z 10. členom začasnega poslovnika.
3,Je kakšen predlog?
15,"Sicer prosim, da - če lahko - poveste, če imate kak predlog, recimo, v ZSM - Liberalna stranka."
