27,"Začenjam 3. skupno sejo vseh zborov Skupščine Republike Slovenije, ki sem jo sklical na podlagi 340. člena Ustave Republike Slovenije in 134. člena Poslovnika Skupščine Republike Slovenije."
15,Poleg delegatov vseh treh zborov so navzoči tudi nekateri člani Izvršnega sveta Skupščine Republike Slovenije.
15,"Najprej bomo ugotovili sklepčnost seje, zato prosim najprej delegate Družbenopolitičnega zbora, da pritisnejo na tipko."
11,"Ugotavljam, da je navzočih 56 članov Družbenopolitičnega zbora, kar zagotavlja sklepčnost."
13,"Potem prosim delegate Zbora občin, da s pritiskom na tipko pokažejo svojo prisotnost."
23,"Torej, ugotavljam, da je 64 navzočih poslancev tega zbora iz česar sledi, da je dana sklepčnost in sedaj še delegati Zbora združenega dela."
42,"Navzočih je 66 članov tega zbora in zato ugotavljam, da je podana sklepčnost tudi tega zbora, kar pomeni, da je skupna seja na podlagi 2. točke 72. člena amandmaja Ustave Republike Slovenije in prvega odstavka 135.člena poslovnika Skupščine Republike Slovenije sklepčna."
11,Predlog dnevnega reda za današnjo sejo ste prejeli s sklicem seje.
31,"Predlagam še, da razširimo dnevni red še s 3. točko dnevnega reda, to so volitve in imenovanja, tako da dosedanja 3. in 4. točka postaneta 4. in 5. točka dnevnega reda."
15,"Ali želi k predlogu dnevnega reda z dopolnitvijo, ki sem jo ravnokar predlagal, kdo razpravljati?"
3,"Kolikor vidim, nihče."
6,Dajem predlog dnevnega reda na glasovanje.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
10,"Ugotavljam, da je predlog dnevnega reda soglasno sprejet, in sicer:"
8,1. Odobrite zapisnika 1. in 2. skupne seje;
9,"2. Izvolitev predsednikov, podpredsednikov in članov nekaterih komisij skupščine;"
4,3. Volitve in imenovanja;
11,4. Imenovanj generalnega sekretarja Skupščine Republike Slovenije in namestnika generalnega sekretarja;
5,5. Predlogi in vprašanja delegatov.
10,"Ta dnevni red je pravzaprav ostal iz prejšnje, 2. seje."
13,Prehajamo na 1. TOČKO DNEVNEGA REDA - ODOBRITEV ZAPISNIKOV 1. IN 2. SKUPNE SEJE.
8,Osnutke zapisnikov ste prejeli s sklicem te seje.
4,Ali želi kdo razpravljati?
5,Dajem osnutek zapisnika na glasovanje.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
9,"Ugotavljam, da je zapisnik 1. skupne seje soglasno sprejet."
