2,Dragi poslanci!
18,"Zadnjič je bila, to je 11. junija, 35. skupna seja prekinjena zaradi nesklepčnosti in bi jo danes nadaljevali."
29,"Zlasti predstavniki pravosodnih organov pritiskajo, da bi to sejo dokončali, ker je vrsta ljudi iz njihovega področja sedaj v položaju, da ne morejo niti prekiniti službe niti ne nastopiti."
9,Zato bi danes poskušali to delo pripeljati do konca.
8,Končali smo z izglasovanjem za izvolitev Borisa Podobnika.
4,Smo pri 3. podtočki.
3,Najprej ugotovimo sklepčnost.
8,"Poslance Družbeno-političnega zbora prosim, da potrdijo svojo navzočnost."
3,"Družbenopolitični zbor, prosim?"
2,Zbor občin?
3,Zbor združenega dela?
8,Po teh rezultatih zaenkrat skupna seja ni sklepčna.
5,Počakati moramo še nekaj minut.
5,"Prosim, še enkrat ugotovimo navzočnost."
5,Najprej prosim poslance Družbeno-političnega zbora?
3,Poslanci Zbora občin?
3,Zbora združenega dela?
4,Torej sklepčnosti še ni.
7,"Prosim Družbeno-politični zbor, da potrdijo svojo navzočnost."
3,Poskusimo še enkrat.
8,"Poslance Družbenopolitičnega zbora prosim, da potrdijo svojo navzočnost."
3,Poslanci Zbora občin?
4,Poslanci Zbora združenega dela?
5,S tem je zagotovljena sklepčnost.
5,Prehajamo na nadaljevanje dnevnega reda.
8,Glasujemo najprej o predlogu za izvolitev Barbare Žužek.
9,Vse obrazložitve in podobne stvari so bile že dane.
4,Prehajamo takoj na glasovanje.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
16,"Ugotavljam, da je na podlagi tega rezultata Barbara Žužek izvoljena za sodnico Temeljnega sodišča v Ljubljani."
8,Sedaj glasujemo o predlogu za izvolitev Darje Pahor.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
13,"Ugotavljam, da je tudi Darja Pahor izvoljena za sodnico Temeljnega sodišča v Celju."
8,Sedaj glasuje o predlogu za izvolitev Biserke Drobnjak-Huttl.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
12,"Ugotavljam, da je Biserka Drobnjak-Huttl izvoljena za sodnico Temeljnega sodišča v Mariboru."
8,Na glasovanje dajem predlog za izvolitev Simone Skorpik.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
12,"Ugotavljam, da je Simona Skorpik izvoljena za sodnico Temeljnega sodišča v Mariboru."
8,Sedaj glasujemo o predlogu za izvolitev Irene Dominik.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
12,"Ugotavljam, da je Irena Dominik izvoljena za sodnico Temeljnega sodišča v Mariboru."
8,Sedaj glasujemo o predlogu za razrešitev Branka Reismana.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
12,"Ugotavljam, da je Branko Reisman razrešen dolžnosti sodnika Temeljnega sodišča v Mariboru."
6,Sedaj glasujemo o razrešitvi Danila Ukmarja.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
12,"Ugotavljam, da je Danilo Ukmar razrešen dolžnosti sodnika Temeljnega sodišča v Kopru."
8,Sedaj glasujemo o predlogu za razrešitev Slavka Božiča.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
12,"Ugotavljam, da je Slavko Božič razrešen dolžnosti sodnika Temeljnega sodišča v Mariboru."
8,Sedaj glasujemo o predlogu za razrešitev Vlaste Polak.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
14,"Ugotavljam, da je Vlasta Polak razrešena dolžnosti sodnice Temeljnega sodišča v Ljubljani s 30.6.1992."
8,Sedaj glasujemo o predlogu za razrešitev Igorja Jurinca.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
12,"Ugotavljam, da je Igor Jurinc razrešen dolžnosti sodnika Temeljnega sodišča v Mariboru."
8,Sedaj glasujemo o predlogu za razrešitev Franca Stiplovška.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
21,"Ugotavljam, da je na podlagi te odločitve Franc Stiplovšek razrešen dolžnosti sodnika Višjega sodišča v Mariboru, in sicer z dnem 18.8.1992."
8,Sedaj glasujemo o predlogu za razrešitev Borisa Štefanca.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
15,"Ugotavljam, da je Boris Štefanec razrešen dolžnosti sodnika Temeljnega sodišča v Murski Soboti s 30.6.1992."
8,Sedaj glasujemo o predlogu za razrešitev Antona Bizjaka.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
15,"Ugotavljam, da je Anton Bizjak razrešen dolžnosti sodnika Temeljnega sodišča v Kranju z dnem 2.8.1992."
9,Končno glasujemo še o predlogu za razrešitev Vitomirja Fistra.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
14,"Ugotavljam, da je Vitomir Fister razrešen dolžnosti sodnika Temeljnega sodišča v Kranju z 31.7.1992."
46,"Javni tožilec Republike Slovenije predlaga, da Skupščina imenuje Renato Trentelj za namestnico javnega tožilca Temeljnega javnega tožilstva v Novem mestu in Roberta Renierja za namestnika javnega tožilca Temeljnega javnega tožilstva v Novem mestu ter Jelko Zorman Bogunović za namestnico javnega tožilca Temeljnega javnega tožilstva v Mariboru."
16,"Predloge ste prejeli, prav tako mnenje Komisije za volitve imenovanja in administrativne zadeve, ki predloge podpira."
4,Želi besedo predstavnik predlagatelja?
4,Želi besedo predstavnik komisije?
20,"Želi o predlogih kdo razpravljati? (Tudi ni videti.) Torej, če ne želi nihče razpravljati, potem dajem te predloge na glasovanje."
9,Na glasovanje dajem najprej predlog za imenovanje Renate Trentelj.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
16,"Ugotavljam, da je Renata Trentelj imenovana za namestnico javnega tožilca Temeljnega javnega tožilstva v Novem mestu."
7,Glasujemo o predlogu za imenovanje Roberta Renierja.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
16,"Ugotavljam, da je Robert Renier imenovan za namestnika javnega tožilca Temeljnega javnega tožilstva v Novem mestu."
8,Sedaj glasujemo o predlogu za imenovanje Jelke Zorman-Begunović.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
16,"Ugotavljam, da je Jelka Zorman Bogunovič imenovana za namestnico javnega tožilca Temeljnega javnega tožilstva v Mariboru."
76,"Predloge, da jih Skupščina razreši njihove dolžnosti, so poslali Skupščini: Dragotin Mikša, namestnik javnega tožilca Temeljnega javnega tožilstva v Celju, Boris Ostruh, namestnik javnega tožilca Temeljnega javnega tožilstva v Celju, Bojan Klakočar, namestnik javnega tožilca Temeljnega javnega tožilstva v Novem mestu, Irma Pavlinič Krebs, namestnica javnega tožilca Temeljnega javnega tožilstva v Mariboru, Tanja Koračin Bohar, namestnica javnega tožilca Temeljnega javnega tožilstva v Murski Soboti in Marko Kovač namestnik javnega tožilca Temeljnega javnega tožilstva v Novi Gorici."
16,"Vse te predloge ste prejeli; tudi mnenje javnega tožilca Republike Slovenije, ki se s predlogi strinja."
13,"S predlogi se strinja tudi naša Komisija za volitve, imenovanja in administrativne zadeve."
7,Želi besedo predstavnik javnega tožilca Republike Slovenije?
2,Poročevalec komisije?
5,Želi o predlogih kdo razpravljati?
8,"Če ne želi nihče razpravljati, prehajamo na glasovanje."
9,Najprej dam na glasovanje predlog za razrešitev Dragotina Mikše.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
15,"Ugotavljam, da je Dragotin Mikše razrešen dolžnosti namestnika javnega tožilca Temeljnega javnega tožilstva v Celju."
8,Sedaj glasujemo o predlogu za razrešitev Borisa Ostruha.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
15,"Ugotavljam, da je Boris Ostruh razrešen dolžnosti namestnika javnega tožilca Temeljnega javnega tožilstva v Celju."
8,Sedaj glasujemo o predlogu za razrešitev Bojana Klakočarja.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
16,"Ugotavljam, da je Bojan Klakočar razrešen dolžnosti namestnika javnega tožilca Temeljnega javnega tožilstva v Novem mestu."
13,"Odšel je iz dvorane 1 poslanec, mislim, da je sklepčnost še vseeno zagotovljena.)"
8,Dajem na glasovanje predlog za razrešitev Irme Pavlinič-Krebs.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
16,"Ugotavljam, da je Irma Pavlinič Krebs razrešena dolžnosti namestnice javnega tožilca Temeljnega javnega tožilstva v Mariboru."
8,Sedaj glasujemo o predlogu za razrešitev Tanje Koračin-Bohar.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
19,"Ugotavljam, da je Tanja Koračin Bohar razrešena dolžnosti namestnice javnega tožilca Temeljnega javnega tožilstva v Murski Soboti s 1.9.1992."
9,Sedaj glasujemo še o predlogu za razrešitev Marka Kovača.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
18,"Ugotavljam, da je Marko Kovač razrešen dolžnosti namestnika javnega tožilca Temeljnega javnega tožilstva v Novi Gorici s 30.6.1992."
6,(Sedaj smo izgubili še enega poslanca.
6,"Ugotavljam, da smo še vedno sklepčni.)"
21,"Komisija za volitve, imenovanja in administrativne zadeve predlaga, da Skupščina ponovno imenuje Branko Cizelj Varšek za namestnico Javnega pravobranilstva Republike Slovenije."
3,Predlog ste prejeli.
4,Želi besedo predstavnik predlagatelja?
5,Želi o predlogu kdo razpravljati?
9,"Če ne želi nihče razpravljati, dajem predlog na glasovanje."
11,"Pred tem, ker vidim, da posamezni poslanci odhajajo, moramo ugotoviti sklepčnost."
7,"Poslanci Družbeno-političnega zbora, prosim, da potrdijo navzočnost?"
2,Zbor občin?
3,Zbor združenega dela
3,Torej lahko glasujemo.
5,Dajem ta predlog na glasovanje.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
14,"Ugotavljam, da je Branka Cizelj Varšek ponovno imenovana za namestnico Javnega pravobranilca Republike Slovenije."
40,"Komisija za volitve, imenovanja in administrativne zadeve predlaga, da Skupščina postavi nadzorni odbor sklada Republike Slovenije za razvoj na naslednji način: da imenuje v nadzorni odbor sklada za predsednika Sandija Češka, za člane Andreja Gerenčarja, Ivana Tomšeta in Andreja Kirma."
50,"Dalje, da ugotovi, da so delavci sklada skladno z drugim odstavkom 8. člena zakona o skladu Republike Slovenije za razvoj izvolili za članico mag. Polono Bobnar ter tako postavili nadzorni odbor v naslednji sestavi: za predsednika Sandija Češka, za člane mag. Polono Bobnar, Andreja Gerničarja, Andreja Kirma in Ivana Tomšeta."
4,Ta predlog ste prejeli.
4,Želi besedo predstavnik predlagatelja?
5,Želi o predlogu kdo razpravljati?
8,"Če ni razprave, potem dajem predlog na glasovanje."
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
28,"Ugotavljam, da je Skupščina imenovala za predsednika nadzornega odbora Sklada Republike Slovenije za razvoj Sandija Češka, za člane mag. Polono Bobnar, Andreja Gerenčarja, Andreja Kirma in Ivana Tomšeta."
1,Dalje.
23,"Komisija za volitve, imenovanja in administrativne zadeve predlaga, da Skupščina razreši Primoža Šafarja dolžnosti sodnika za prekrške Republiškega senata za prekrške v Ljubljani."
4,Ta predlog ste prejeli.
4,Želi besedo predstavnik predlagatelja?
3,Želi kdo razpravljati?
5,Potem dajem predlog na glasovanje.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
16,"Ugotavljam, da je Primož Šafar razrešen dolžnosti sodnika za prekrške Republiškega senata za prekrške v Ljubljani."
1,Nadalje.
