63,"Spoštovane poslanke in poslanci! Poslušali smo gospoda Peterleta v zvezi s predlogom, da se začne postopek za spremembo ustave Republike Slovenije. Mi moramo to točko dnevnega reda razdeliti na dva dela, da bi sedajle pred pričetkom sprejeli sklep, ki ste ju prejeli tudi s poročilom Komisije za ustavna vprašanja k predlogu, da se začne postopek za spremembo ustave Republike Slovenije. Sklep se glasi:"
32,"1. Skupščina sprejema predlog Izvršnega sveta Skupščine Republike Slovenije, da se začne postopek za spremembo ustave Republike Slovenije, ki ga je sprejel Izvršni svet Skupščine Republike Slovenije na svoji seji dne 30.7.1990."
18,2. Osnutek amandmajev pripravi Komisija za ustavna vprašanja in ga predloži zborom za seje dne 31.julija 1990.
78,"Mi moramo ta sklep najprej sprejeti, da lahko člani ustavne komisije, mi imamo dva v našem zboru, tudi takoj sodelujete na seji ustavne komisije in da nam ustavna komisija predloži vse to kar je pač potrebno, osnutek amandmajev, osnutek zakona za izvedbo ustavnega amandmaja 97 in da damo to v javno razpravo kot osnutek in z rokom en mesec. Tako danes tu ne sprejemamo predloga, ampak se pogovarjamo o osnutku in ta osnutek bo še v javni razpravi."
11,Ima kdo še kakšno mnenje v zvezi s tema dvema sklepoma?
5,"Hvala, gospod Arzenšek. Odpiram razpravo."
41,"18. julija sem vložila pisno pobudo, in sicer se je takole glasila: ""Po objavljenih informacijah se bodo s 1.8.1990 mesečni prejemki vojaških invalidov in nadomestila za družine padlih borcev zmanjšali za 18,2% oziroma za 18,8% še nekateri dodatki po zveznih predpisih."""
63,"To pomeni za vojaške invalide in druge prizadete v Sloveniji znižanje prejemkov v času, ko se redne pokojnine z uskladitvijo povečajo za 3%. Hkrati pa znižanje prejemkov za vojaške invalide avtomatično pomeni znižanje prejemkov za civilne invalide vojne v Sloveniji, ker se po republiškem zakonu njihovi prejemki izračunavajo v procentualni odvisnosti od prejemkov vojaških invalidov in so že tako za približno polovico manjši."
42,"Vprašala sem, kaj bo ukrenila Republika Slovenija za vojaške invalide in druge s tem zveznim predpisom prizadete v Sloveniji. Predlagala sem, da se vsaj osnova za izračun prejemkov civilnih invalidov vojne, ki imajo zagotovljeno varstvo po republiškem zakonu, ne upošteva zveznega znižanja."
112,"Drugi dan sem dobila odgovor Republiškega sekretariata za borce in vojaške invalide, ki je bil napisan na štirih straneh in nima smisla, da si dopisujem. Veliko pojasnil sem dobila iz tega. Vendar pa v celoti z odgovorom tega sekretariata nisem zadovoljna. Nekako sem že kar sama cenila, da vsaj za vojaške invalide po zveznih predpisih ta hip skoraj ne bomo mogli nič narediti, ker ne hodimo niti na Zvezni zbor, ker smo nehali plačevati federaciji. Vendar vsaj za civilne invalide vojne, ki imajo tovrstno varstvo urejeno po republiškem zakonu in so že tako ali tako v procentualni odvisnosti od invalidno vojaških invalidov pa še vedno predlagam, da se jim osnova ne zniža."
88,"Civilnim invalidom vojne, kot še sedaj živim spomenikom na vojno, ki so bili več kot 20 let brez kakršnegakoli varstva, po letu 1968 pa ves čas v podrejenem položaju, bi bilo potrebno do uveljavitve predvidenega izboljšanja varstva civilnih invalidov vojne ohraniti osnovo na sedanji nezmanjšani ravni. Na ta način namreč bi vsaj delno popravili dosedanje nerazumno razločevanje varstva civilnih invalidov vojne in vojaških invalidov. Ponovno predlagam, da se pri izračunu osnove za prejemke civilnih invalidov vojne, ki imajo zagotovljeno varstvo po republiškem zakonu, ne upošteva spremembe zveznega zakona."
70,"To je eno in drugo, če dovolite tov. predsednik. V torkovi, mislim, da v Demokraciji, prejšnji teden sem prebrala, da imamo v Skupščini vohuna, gre za Milana Aksentijevića. Jaz sem na nekaj sejah sedela zraven njega, danes mi je pa nekako čudno to. Jaz bi predlagala, da na naslednji seji, danes smo preveč utrujeni, imenujemo potrebno delovno skupino, ki naj ta primer prouči in se potem o tem pogovorimo. Hvala."
24,"Mi smo se danes o tem že pogovarjali v razpravi in smo ugotovili, da je to dobro znamenje, ampak da je to odločno premalo."
5,Kdo je za to stališče?
3,Je kdo proti?
