9,"Hvala lepa. Želi še kdo razpravljati? Prosim, gospod Gradišar."
39,"Spoštovane poslanke in poslanci! Prosil bi, če bi tele liste vzeli. Dobili smo poročilo. Predlagani amandmaji in dodatni sklepi mislim, da sledijo osnovnemu namenu zakona. Zato predlagam, poslanke in poslance, da jih podprejo v celoti. Razen v dveh izjemah."
33,"Prvič. Na prvi strani pod številko 2: amandma k 1. členu - gre za Termoelektrarno Šoštanj - predlagam, da ostane celoten tekst amandmaja isti, razen namesto stotrideset milijonov nemških mark napišemo sedemdeset milijonov nemških mark."
76,"Drugič. Na drugi strani pod številko 5: doda se novi 3.a člen, gre za kredit jamstva letnega remonta za nuklearko. Nuklearka je šla v remont, ne da bi vedela koliko bo zadeva stala. Sicer je Hrvaška Sloveniji dolžna v zvezi z nuklearko dvajset milijonov ameriških dolarjev in garancije za kredite v višini petindvajset milijonov ameriških dolarjev. Pravzaprav pomeni, da Slovenija jemlje kredit za Hrvaško. Tudi zaradi tega predlagam, da tega amandmaja ne podpremo. Hvala lepa."
5,Hvala. Gospod Jamnikar želi besedo?
21,"Spoštovani poslanci in poslanke! Opravičujem se, mene so zdaj obvestili in sem priletel iz pisarne, kolikor se je najbolj hitro dalo."
11,"Saj noben drug zbor ne zaseda, kako, da niste bili tukaj?"
48,"Gremo k naslednjemu usklajevanju, ki pa je kolikor vidim nekoliko zapleteno. Imamo tukaj predlog delovnih skupin, za pripravo predlogov k različno sprejetemu PREDLOGU ZAKONA O JAMSTVU REPUBLIKE SLOVENIJE LJUBLJANSKI BANKI d.d. ZA NJENE OBVEZNOSTI PRI NAJEMANJU KREDITOV ZA EKOLOŠKE IN ENERGETSKE PROJEKTE, t.j. 3. TOČKA DNEVNEGA REDA."
17,"Želi kdo od poročevalcev besedo, da nam malce razjasni kaj vse tukaj je predlagano? Gospod Feltrin, prosim."
30,"Hvala lepa. Razpravljalcev ni več. Prehajamo na glasovanje o predlogih delovne skupine. Imamo za sprejeti oziroma predlaga se nam, da sprejmemo šest amandmajev, da dva umaknemo in sprejmemo dva sklepa."
25,"Najprej bi hkrati dal na glasovanje umik dveh amandmajev k 1. členu in k 3. členu, to kar je prvi predlog delovne skupine. Ugotovimo sklepčnost!"
7,Kdo je za umik teh dveh amandmajev?
3,Je kdo proti?
4,Se je kdo vzdržal?
8,"Ugotavljam, da je z večino glasov umik sprejet."
16,"Drugo: gremo po vrsti sprejemati amandmaje, ki nam jih delovna skupina predlaga. Amandma k naslovu zakona."
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
8,"Ugotavljam, da je amandma z večino glasov sprejet."
6,"Drugi amandma. Prosim, dr. Glavič, proceduralno."
103,"Spoštovane kolegice in kolegi! Predlagam, da najprej glasujemo o amandmaju k 3. in novemu 3.a členu, kajti od tega bo odvisno potem kakšna bo skupna vsota. In če sem že tu, moram reči, da podpiram amandma k 3.a členu za JE Krško, ker je v tem trenutku najbrž s Hrvaško nemogoče razpravljati, pač pa bi bilo prav, da zahtevamo, da vlada pripravi stališča do tega, kajti tudi to je del bilance s Hrvaško, ki kaže, da morda utemeljitve Hrvaške niso prave. Tudi turistični promet bomo skoraj mi plačali v konvertibilni valuti in torej vsi argumenti, ki jih našteva Hrvaška, ne držijo."
19,"Predlagam, da o tem vlada da poročilo in posebej o tem razpravljamo. Sicer pa sem za sprejem tega člena."
21,"Ne bom pa glasoval za amandma k 3. členu, ker mislim, da je za Hidroelektrarno Vrhovo mogoče razpisati delnice ali obveznice."
66,"Imam obveznosti. Tam imam šest delegatskih vprašanj, na katera moram odgovoriti do jutri in sem poskušal ta problem rešiti. Dajte me prosim razumeti, ne bi rad kot zdaj razložil, v bistvu ta problem, za kaj pravzaprav gre. Ne gre za to, da je bila zdaj bolj debela študija v tem primeru, zakaj 70 in zakaj 130. Varianta. Gre za dva različna postopka čiščenja. Eden je polsuhi."
30,"Bil sem prej na zboru, potem so me klicali v službo in sem odšel na delovno mesto in sem sporočil, da ko bo na vrsti, da me naj takoj pokličejo."
143,"Komisija je po dolgi razpravi sprejela neke sklepe, bom posebej tudi povedal, kateri so kompromisni in kateri niso. Lepo piše, kaj naj umaknemo k drugemu odstavku 1. člena in drugega odstavka 3. člena. Tu gre za spremembo naslova in za črtanje, da bi bila samo Ljubljanska banka. Mislim, da tu ni nobenega spora, ker imate tudi prej napisano. Tako da je predlog tu, da vsi trije zbori sprejmejo to v enaki obliki oziroma Družbenopolitični zbor je že sprejel. Sporna pa je - pri besedilu 1. člena k 1. členu v tretjem odstavku - vsota. Mi smo sprejeli v našem zboru sedemdeset milijonov mark, tam na usklajevalni komisiji je seveda minister za energetiko - pač moram to iskreno povedati - štirje iz Zbora občin smo glasovali proti temu, da bi se vsota sedemdeset milijonov mark povečala na stotrideset. Mi smo v manjšini, kot pravim, štirje smo glasovali proti."
154,"Ravno tako se je povečala vsota, dodalo se je zraven, da se remont v nuklearki, ki je bil sedaj izveden, tudi vključi v to. To pa je nadaljnjih petindvajset milijonov ameriških dolarjev. In smo bili proti temu. Seveda pa smo tam vsi štirje rekli, da lahko vlada pride z nekim drugim zakonom ali predlogom, saj vemo, da je to potrebno plačati. Ne pa vključiti tega v ta ekološki zakon, kot rečem. Tako da Zbor občin ima tudi predlog na koncu delovne skupine, da sprejmemo posamične garancije in tako naprej. In potem smo se pa strinjali s tem, da se vključi noter, da Vlada Republike Slovenije do naslednje seje predloži poročilo o izvajanju programa sanacije Save. Saj je izboljšanje kakovosti Save za en razred pogoj za pričetek obratovanja. Mislim, da to ni sporno. Seveda pa prosim predlagatelja Zelenih, da obrazloži - povečanje sedemdeset milijonov mark na sto trideset milijonov mark in še dodatnih petindvajset milijonov dolarjev."
26,"Glede na to, potem predlagam, da zavrnemo oba amandmaja. Skratka amandma pod številko 2, na prvi strani in amandma pod številko 5 na drugi strani. Hvala."
31,"Vprašal bi predlagatelja, mislim, da gospod doktor nima prav. Namreč, tukaj je znesek samo za Termoelektrarno Šoštanj. Je tako, v 1. členu in ni vezan za 3. člen. Prosim, gospod Jamnikar."
25,Zdaj imamo amandma za pretvarjanje energije z visokim izkoriščanjem primarnega vira. Glasujemo o amandmaju k 2. členu. Ti so pa že mimo. Amandma številka 3.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
8,"Ugotavljam, da je amandma z večino glasov sprejet."
6,Amandma številka 4 k 3. členu.
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
8,"Ugotavljam, da je amandma z večino glasov sprejet."
8,Amandma številka 5 za nov 3.a člen.
3,Kdo je za?
7,"Ugotavljam, da amandma ni dobil zadosti podpore."
20,"In če smo že pri amandmajih, potem še amandma k 4. členu, ki ga imamo tukaj malce nižje v poročilu."
5,Kdo je za ta amandma?
3,Je kdo proti?
4,Se je kdo vzdržal?
9,"Ugotavljam, da je z večino glasov ta amandma sprejet."
18,"Preden gremo na glasovanje o predlogih sklepov, dajem na glasovanje predlog zakona v celoti, skupaj s sprejetimi amandmaji."
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
9,"Ugotavljam, da je predlog zakona z večino glasov sprejet."
35,"Imamo še dva dodatna predloga sklepov. Najprej o tem prvem sklepu: ""Zbori Skupščine Republike Slovenije predlagajo Vladi Republike Slovenije... itn. za dokončanje slovenskega dela investicije HE Golica in izvedbo projekta prenove verige HE na Dravi."
6,Kdo je za tak predlagani sklep?
3,Je kdo proti?
4,Se je kdo vzdržal?
8,"Ugotavljam, da je sklep z večino glasov sprejet."
21,"Drugi predlog sklepa, ki ga predlagajo našemu zboru posebej, ker so ga drugi zbori sprejeli v zvezi z izboljšanjem kakovosti Save."
3,Kdo je za?
3,Je kdo proti?
4,Se je kdo vzdržal?
8,"Ugotavljam, da je sklep z večino glasov sprejet."
