9,Ponovno preverjamo navzočnost! Prosim poslanke in poslance Družbenopolitičnega zbora -
2,Zbor občin -
3,; Zbor združenega dela -
24,"Prosim vodje poslanskih klubov, da zagotovijo navzočnost; menda je več poslancev kot nam manjka, ker gre za običajni kvorum, še kje, morda v bifeju."
24,"Spoštovane poslanke in poslanci! Poizkusili bi s prvim preverjanjem navzočnosti. Ugotavljamo navzočnost! Prosim poslanke in poslance, ki so v avli, da pridejo v dvorano."
5,Ugotavljamo navzočnost! Prosim Družbenopolitični zbor -
2,Zbor občin -
3,Zbor združenega dela -
21,"Menim, da bi še počakali dve, tri minute v dvorani, ker bo verjetno zelo hitro prišlo - ne do prekinitve - do kvoruma."
20,"Spoštovane poslanke in poslanci! Kaže, da ne bomo dosegli sklepčnosti v doglednem času in odrejam odmor. Začeli bi ob 14.30."
5,Ponovno preverjamo navzočnost! Družbenopolitični zbor -
2,Zbor občin -
3,Zbor združenega dela -
112,"Prišli smo v nerodno situacijo: ob 15. uri bi morali nadaljevati delo, in sicer s fazo za sprejemanje volilne zakonodaje, ki mora biti pravočasno sprejeta. Sedaj vmesnega časa nismo mogli izkoristiti za skupno sejo, tu pa so nujne stvari in funkcionarji čakajo, ker ne morejo pričeli z delom; škoda se povzroča inštitucijam, nekaterim že po tri mesece. Smo pač v položaju, ko bomo morali tehtati, ali bomo opravili to skupno sejo in volitve ali pa se bomo osredotočili na sprejem volilnih zakonov. O tem bi se posvetovali s predsedniki zborov, če bomo seveda dosegli ustrezno sklepčnost. Počakati pa tako moramo še nekaj minut, da vidimo, ali bo podana vsaj sklepčnost za delo."
75,"Predsedniki zborov - posebej gospod Zupančič - so se odločili, da ob 15. uri začnejo delo za volilno zakonodajo in tudi sam menim, da je delo za to zakonodajo bolj nujno, ker nas čas bolj lovi, čeprav je pravzaprav prava sramota, da naše dolžnosti glede imenovanj ne moremo opraviti. Upam pa, da bomo lahko to nadoknadili drugi teden in bodo ti funkcionarji morali počakati še kak teden, čeprav je v veliko škodo institucij, kjer pričakujejo njihovo delo."
24,"Zato prosim, da poslanci Družbenopolitičnega zbora ostanejo v tej dvorani, medtem ko se ostali poslanci napotite v prostore, kjer boste lahko nadaljevali z delom."
9,"Hvala za udeležbo vam, ki ste pač tu bili."
