DR. ANDREJ CAPUDER:,140
PREDSEDUJOČI DR. FRANCE BUČAR:,7402
DR. RAJKO PIRNAT:,411
TINA BITENC-PENGOV:,119
ANTON TOMAŽIČ:,538
JOŽEF ŠKOLČ:,648
DR. FRANC ZAGOŽEN:,453
DR. STANKO BUSER:,560
BORUT ŠUKLJE:,312
JANEZ KOPAČ:,999
CIRIL KOLEŠNIK:,667
ROBERTO BATTELLI:,181
JANEZ JANŠA:,604
EMIL MILAN PINTAR:,1567
VITODRAG PUKL:,1196
FRANC PIVEC:,327
MILE ŠETINC:,628
ZORAN THALER:,156
MIRAN POTRČ:,1541
MOJMIR OCVIRK:,202
FRANCO JURI:,515
DR. CIRIL RIBIČIČ:,363
MARJAN PODOBNIK:,424
FRANCE TOMŠIČ:,754
PETER REBERC:,109
MAG. SPOMENKA HRIBAR:,187
DR. LEV KREFT:,445
MAG. JANEZ KOCIJANČIČ:,268
MARIJA MARKEŠ:,140
ALEKSANDRA PRETNAR:,171
MAG. DUŠAN SEMOLIČ:,620
PETER BEKEŠ:,390
PREDSEDUJOČI KAREL FRANKO:,429
JANEZ LUKAČ:,6819
VILI VERŠAJ:,93
"DANIJEL BOŽIČ,",487
JOŽE ZAKONJŠEK:,1058
DAVOR VINKO:,2
IVAN BIZJAK:,38189
VITOMIR GROS:,1976
NEIDENTIFICIRANI GOVORNIK:,216
VIKTORIJA POTOČNIK:,400
DANIJEL STARMAN:,1579
JANKO DEŽELAK:,427
MARKO STADLER:,215
MAG. ERVIN ANTON SCHWARZBARTL:,744
AURELIO JURI:,366
IVAN ATELŠEK:,648
DR. ANTON ŽUNTER:,358
DR. IVAN VIDOV:,259
MARCEL ŠTEFANČIČ:,573
MILAN VOLK:,150
 IVAN VODOPIVEC:,245
TONE PARTLJIČ,154
MILOŠ URBANČIČ:,283
ANDREJ ŠTER:,740
PREDSEDNIK IVAN DRETNIK:,622
DR. PRIMOŽ RODE:,203
JAŠA L. ZLOBEC:,651
MAG. BOŠTJAN KOVAČIČ:,88
JOŽE ZUPANČIČ:,33152
JOŽE BERLEC:,173
VLASTA SAGADIN:,150
MIROSLAV ZEMLJIČ: Predstavnik Izvršnega sveta na tem zboru.,34
KAREL VUKOVIČ:,108
"ANDREJ MUREN: Delegat prve volilne enote, to je industrija, rudarstvo, gradbeništvo, občine Ljubljana-Center, Bežigrad in Moste-Polje:",748
MARINO DOMIO:,17
MITJA ŠKOF:,5
FRANC BAN:,439
JOŽE STUDENČNIK:,119
DR. LUDVIK TOPLAK:,31228
METKA MENCIN:,426
DR. LEO ŠEŠERKO:,100
ANTON PERŠAK:,21592
ANDREJ MAGAJNA:,603
GREGOR GOLOBIČ:,98
SINIŠA MITROVIĆ:,44
ROMAN JAKIČ:,696
ANDREJ VERLIČ:,118
MARJAN DVORNIK:,330
TONE KRAMARIČ:,557
ZDRAVKO ZABUKOVEC:,487
BOGO ROGINA:,6168
MARJAN STARC:,482
VANO GOŠNIK:,688
MILAN AKSENTIJEVIĆ:,402
JOŽE SMOLE:,869
ALOJZ PETERLE:,871
JANKO HALB:,606
IVAN TOMŠE:,410
DR. HUBERT POŽARNIK:,271
EDVARD OVEN:,225
FRANC LOVŠIN:,408
IVO DANEU:,176
