IVAN BIZJAK:,796061
JOŽE ZUPANČIČ:,738986
DR. LUDVIK TOPLAK:,579671
ANTON PERŠAK:,500556
DR. PETER GLAVIČ:,184867
EMIL MILAN PINTAR:,180149
JANEZ LUKAČ:,166187
MIRAN POTRČ:,156764
PREDSEDUJOČI DR. FRANCE BUČAR:,148015
VITOMIR GROS:,147268
DANIJEL STARMAN:,134478
DR. JOŽE ARZENŠEK:,110139
BOGO ROGINA:,109103
JANEZ KOPAČ:,107388
JOŽE ZAKONJŠEK:,84734
MILAN BALAŽIC:,82577
MILE ŠETINC:,80284
JOŽICA PUHAR:,78277
JOŽE SMOLE:,77858
FEDJA KLAVORA:,76850
FRANCE TOMŠIČ:,76694
JAŠA L. ZLOBEC:,72418
JANKO HALB:,72157
JOŽEF ŠKOLČ:,72055
ROMAN JAKIČ:,71919
ANDREJ ŠTER:,71266
MAG. VIKTOR ŽAKELJ:,69089
CIRIL KOLEŠNIK:,68881
ALOJZ PETERLE:,66000
SONJA LOKAR:,65724
"ANDREJ MUREN: Delegat prve volilne enote, to je industrija, rudarstvo, gradbeništvo, občine Ljubljana-Center, Bežigrad in Moste-Polje:",63780
MAG. ERVIN ANTON SCHWARZBARTL:,63761
MARJAN STARC:,63450
ANDREJ MAGAJNA:,62389
MAG. DUŠAN SEMOLIČ:,62134
MIHA JAZBINŠEK:,61744
JANEZ JANŠA:,60750
RUDI MOGE:,59315
IVAN ATELŠEK:,58758
ANTON TOMAŽIČ:,56808
MARCEL ŠTEFANČIČ:,56396
ANKA OSTERMAN:,56301
FRANC BAN:,56042
DR. LEV KREFT:,55871
ŽARKO PREGELJ:,54623
DR. STANKO BUSER:,53315
FRANCI FELTRIN:,52789
NATAŠA BELOPAVLOVIČ:,52709
FRANCO JURI:,52008
IZIDOR REJC:,51975
IGNAC POLAJNAR:,51414
JANEZ ŽAMPA:,48080
DR. BOŽIDAR VOLJČ:,47959
"DANIJEL BOŽIČ,",47303
DARJA LAVTIŽAR-BEBLER:,46716
MARJAN PODOBNIK:,45707
JANKO DEŽELAK:,45526
VLADIMIR SLEJKO:,45343
ANTON ROJEC:,44834
MAG. STANKO DEBELJAK:,44822
DR. FRANC ZAGOŽEN:,44184
PETER BEKEŠ:,44038
VANO GOŠNIK:,43992
ZDRAVKO ZABUKOVEC:,43697
JELKO KACIN:,42902
DR. RAJKO PIRNAT:,42891
FRANC GRAŠIČ:,42805
IVAN TOMŠE:,42090
METOD ŠONC:,41538
IGOR UMEK:,41525
PREDSEDNIK IVAN DRETNIK:,40922
ZVONE ŽAGAR:,39974
DR. JOŽE OSTERC:,39954
METKA MENCIN:,39860
MILAN KUČAN:,39127
DR. CIRIL RIBIČIČ:,38920
MAG. FRANC AVBERŠEK:,38649
TONE KRAMARIČ:,38433
DR. DIMITRIJ RUPEL:,37288
ALENKA MARKIČ:,36267
LEOPOLD FRELIH:,36115
DR. PETER VENCELJ:,35577
DUŠAN ŠEŠOK:,35112
JANEZ ČRNEJ:,34886
BORUT ŠUKLJE:,32701
MAG. SLAVKO DEBELAK:,32061
MILAN AKSENTIJEVIĆ:,31799
FRANC LOVŠIN:,31793
BORUT PAHOR:,31496
FRANC PIVEC:,30854
IVAN KUHAR:,30676
DR. MARKO KRANJEC:,30504
FRANC PERKO:,30061
MATIJA MALEŠIČ:,29982
DR. ANTON ŽUNTER:,29852
VIKTORIJA POTOČNIK:,29723
MAG. JANEZ KOCIJANČIČ:,29670
DR. JOŽE MENCINGER:,29433
MIRKO KRAJEC:,28806
AURELIO JURI:,28712
DR. HUBERT POŽARNIK:,28352
DR. CVETKO GRADIŠAR:,28275
DR. JANEZ REMŠKAR:,27386
MARTINA LIPPAI:,27179
IVAN ROJC:,26587
VITODRAG PUKL:,26217
MAG. RUDI ŠELIGO:,25695
MARJAN DVORNIK:,25307
IGOR BAVČAR:,25109
BOGOMIL BRVAR:,24434
DEJAN MURKO:,24069
VOJKA ŠTULAR:,23924
PREDSEDUJOČI KAREL FRANKO:,23180
DAVORIN BIZJAK:,23049
LEOPOLD GROŠELJ:,22836
FRANC BOŠTJANČIČ:,22608
MOJMIR OCVIRK:,22475
FRANC POTOČNIK:,22358
ŠTEFAN KOCIPER:,22279
FRANC GOLIJA:,22001
MAG. JANEZ JUG:,21542
MAG. MATJAŽ ŠINKOVEC:,21392
 IVAN VODOPIVEC:,21376
EDVARD OVEN:,20877
MILOŠ URBANČIČ:,20867
MAG. JOŽE PROTNER:,20721
LEOPOLD DRAME:,20707
MIRAN BOGATAJ:,20669
